energy,filename,all,US1,US2,US3,US1_US2,US1_US3,US2_US3,US1_US2_US3,US1_fraction,US2_fraction,US3_fraction,US1_US2_US3_fraction
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0018.root,10000,1235,1187,1267,686,616,659,562,0.1235,0.1187,0.1267,0.0562
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0019.root,10000,1257,1148,1260,682,641,646,573,0.1257,0.1148,0.126,0.0573
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0020.root,10000,1205,1170,1240,675,598,637,559,0.1205,0.117,0.124,0.0559
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0021.root,10000,1200,1182,1236,670,599,636,554,0.12,0.1182,0.1236,0.0554
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0022.root,10000,1207,1170,1224,685,599,652,558,0.1207,0.117,0.1224,0.0558
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0023.root,10000,1244,1193,1230,687,617,635,554,0.1244,0.1193,0.123,0.0554
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0024.root,10000,653,621,647,310,277,275,248,0.0653,0.0621,0.0647,0.0248
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0025.root,10000,1214,1156,1261,689,606,649,566,0.1214,0.1156,0.1261,0.0566
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0026.root,10000,179,197,242,16,16,14,14,0.0179,0.0197,0.0242,0.0014
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0027.root,10000,1243,1154,1249,668,617,642,552,0.1243,0.1154,0.1249,0.0552
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0028.root,10000,1243,1177,1217,697,596,640,553,0.1243,0.1177,0.1217,0.0553
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0029.root,10000,1230,1153,1242,687,602,640,544,0.123,0.1153,0.1242,0.0544
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0030.root,10000,856,804,881,437,385,413,360,0.0856,0.0804,0.0881,0.036
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0031.root,10000,1197,1121,1236,661,583,619,537,0.1197,0.1121,0.1236,0.0537
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0032.root,10000,1257,1190,1249,682,620,648,565,0.1257,0.119,0.1249,0.0565
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0033.root,10000,1219,1177,1250,687,613,650,570,0.1219,0.1177,0.125,0.057
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0034.root,10000,1204,1130,1257,660,614,649,561,0.1204,0.113,0.1257,0.0561
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0035.root,10000,548,558,615,249,215,250,198,0.0548,0.0558,0.0615,0.0198
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0036.root,10000,1158,1192,1248,673,595,659,555,0.1158,0.1192,0.1248,0.0555
