sample,pdg_id,energy_GeV,batches_planned,events_per_batch,events_expected,pgrunid_first,pgrunid_last,retry_batches,output_base,output_filename,sndsw_commit,source_sha256,object_sha256,library_sha256,eos_validation
piPlus_100GeV_15k,211,100,150,100,15000,12000,12149,"46;73;133;144;145",/eos/user/y/ykim/project_birkslaw/birks_samples_15k,sndLHC.PG_211-TGeant4_digCPP.root,7fc62ce7c271653ba3974eaf19541a562fc8d953,d05928aec6e97d76fd4c31a5418278a36bfe32043a6a0e0172388e1a04dce997,a21ef1e342b7fa50eca07b5d86bc896cb6a172eb4bc722ff468b9d1ddfb08208,0bca6f5550bf83c82263f8e66c3170c0118222a72f7d4e638be6ee845b33156a,validated
piMinus_300GeV_15k,-211,300,150,100,15000,32000,32149,"59;115;131;143;146;147;148",/eos/user/y/ykim/project_birkslaw/birks_samples_15k,sndLHC.PG_-211-TGeant4_digCPP.root,7fc62ce7c271653ba3974eaf19541a562fc8d953,d05928aec6e97d76fd4c31a5418278a36bfe32043a6a0e0172388e1a04dce997,a21ef1e342b7fa50eca07b5d86bc896cb6a172eb4bc722ff468b9d1ddfb08208,0bca6f5550bf83c82263f8e66c3170c0118222a72f7d4e638be6ee845b33156a,validated
