energy,filename,all,US1,US2,US3,US1_US2,US1_US3,US2_US3,US1_US2_US3,US1_fraction,US2_fraction,US3_fraction,US1_US2_US3_fraction
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0021.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0022.root,1,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0023.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0024.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0025.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0026.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0027.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0028.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0029.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0030.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0031.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0032.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0033.root,1,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0034.root,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0035.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0036.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0037.root,1,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0038.root,1,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0039.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0040.root,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0041.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0042.root,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
