energy,filename,all,US1,US2,US3,US1_US2,US1_US3,US2_US3,US1_US2_US3,US1_fraction,US2_fraction,US3_fraction,US1_US2_US3_fraction
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0016.root,1000000,110191,106388,112561,60228,53829,57442,49630,0.110191,0.106388,0.112561,0.04963
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0017.root,1000000,108525,104689,111894,59288,53249,56720,48860,0.108525,0.104689,0.111894,0.04886
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0018.root,1000000,109757,105836,113306,60028,53896,57462,49535,0.109757,0.105836,0.113306,0.049535
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0019.root,1000000,108865,104778,113356,59351,53449,56894,49053,0.108865,0.104778,0.113356,0.049053
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0020.root,1000000,109878,106142,113386,60297,53825,57387,49536,0.109878,0.106142,0.113386,0.049536
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0021.root,1000000,108779,104818,111793,59210,53082,56580,48882,0.108779,0.104818,0.111793,0.048882
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0022.root,1000000,109805,105616,112929,59839,53918,57354,49491,0.109805,0.105616,0.112929,0.049491
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0023.root,1000000,109370,105792,112818,59807,53691,57114,49343,0.10937,0.105792,0.112818,0.049343
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0024.root,1000000,109807,105504,111894,59773,53429,56878,49161,0.109807,0.105504,0.111894,0.049161
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0025.root,1000000,110135,105619,113066,59823,53623,56994,49312,0.110135,0.105619,0.113066,0.049312
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0026.root,1000000,109599,104974,113146,59592,53567,56916,49115,0.109599,0.104974,0.113146,0.049115
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0027.root,1000000,110421,105843,113567,60110,53925,57385,49505,0.110421,0.105843,0.113567,0.049505
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0028.root,1000000,108759,104113,111714,59242,53188,56525,48883,0.108759,0.104113,0.111714,0.048883
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0029.root,1000000,110137,105234,112526,60071,53932,57111,49545,0.110137,0.105234,0.112526,0.049545
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0030.root,1000000,108360,104518,111749,59077,53199,56530,48795,0.10836,0.104518,0.111749,0.048795
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0031.root,1000000,108622,103724,111541,59066,52940,56170,48671,0.108622,0.103724,0.111541,0.048671
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0032.root,1000000,109225,103487,111282,59161,53199,56430,48882,0.109225,0.103487,0.111282,0.048882
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0033.root,1000000,108086,102821,110405,58758,52901,56034,48527,0.108086,0.102821,0.110405,0.048527
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0034.root,1000000,109659,103759,112286,59576,53830,56909,49336,0.109659,0.103759,0.112286,0.049336
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0035.root,1000000,108289,103332,111383,58999,53242,56569,48792,0.108289,0.103332,0.111383,0.048792
300GeV,/eos/experiment/sndlhc/convertedData/commissioning/testbeam_June2023_H8/run_100639/sndsw_raw-0036.root,1000000,109344,103963,111061,59434,53275,56487,49026,0.109344,0.103963,0.111061,0.049026
