energy,sample,available_events,scanned_events,selected_events,selection_efficiency,mean_total_us_qdc,median_total_us_qdc,std_total_us_qdc
100GeV,Birks MC,10000,10000,9897,0.9897,10079.356254433958,8667.25250440836,6202.639557813
100GeV,No-Birks MC,20000,10975,10000,0.9111617312072893,12324.807281665631,10989.384589970112,6893.010826517326
100GeV,Data,12034781,152526,10000,0.06556259260716206,4487.250607837382,4446.624984569848,3244.286459321853
300GeV,Birks MC,10000,10000,9979,0.9979,32385.082003985335,29363.945165991783,16744.512783725404
300GeV,No-Birks MC,16000,10090,10000,0.9910802775024777,37636.482659647496,34420.09494675044,18870.070953097533
300GeV,Data,58000000,196374,10000,0.05092323831057065,10505.157241370502,11169.050007641315,5269.351822587946
