energy,sample,events,mean_total_us_qdc,median_total_us_qdc,std_total_us_qdc
100GeV,Birks MC,98,10717.547456917006,9990.870551784317,6727.190133878193
100GeV,No-Birks MC,100,13139.686393919299,11462.553100794554,7072.661753895774
100GeV,Data,100,4117.944500632529,4534.965013477951,3062.838212163198
300GeV,Birks MC,100,34201.32006787034,33646.1052569747,17534.730950765756
300GeV,No-Birks MC,100,37791.16744373573,34879.06038566306,17555.786760320047
300GeV,Data,100,11632.529598221723,11794.439995713532,4224.156077472167
