energy,sample,events,mean_total_us_qdc,median_total_us_qdc,std_total_us_qdc
100GeV,Birks MC,100,10520.699792260535,9688.98847423587,6801.647740164218
100GeV,No-Birks MC,100,12086.297422119342,9996.567228927976,7052.061114202743
100GeV,Data,100,42.37720004033297,1.8149999976158142,137.22645375420936
300GeV,Birks MC,100,34201.32006787034,33646.1052569747,17534.730950765756
300GeV,No-Birks MC,100,37791.16744373573,34879.06038566306,17555.786760320047
300GeV,Data,100,40.26300010818988,3.5399999395012856,79.98409846606395
